"start_year","N_data","N_years","slope","slope_se","p_value","intercept","intercept_se","intercept_p_value","r_square","adj_r_square","site","trmt","taxa","trophic_class","trophic_level"
1992,23,3,1.23004633623304,0.353755977741793,0.00225059413850885,-2451.99488471589,705.143378154122,0.00224955662681849,0.365372021984452,0.33515164207895,"hbrook","hardwood","tree","producer","Primary"
1993,30,3,-0.16194341921985,0.267185238741127,0.549324892398201,323.016336088477,532.794126333237,0.549220540035242,0.0129503838181719,-0.0223013881883221,"hbrook","hardwood","tree","producer","Primary"
1994,33,3,-0.280661142640583,0.207691110475359,0.186366831285836,560.00191670987,414.34380010028,0.186303473731096,0.0556300229482503,0.0251664753014197,"hbrook","hardwood","tree","producer","Primary"
1995,33,3,0.0254305560966185,0.105594819302358,0.811271444634024,-50.9363478085973,210.767276961912,0.810626591847837,0.0018674673120783,-0.030330356323016,"hbrook","hardwood","tree","producer","Primary"
1996,33,3,-0.0946686202719744,0.120965132393313,0.439793382164033,188.902905687163,241.567389580587,0.44015366661809,0.0193746168122197,-0.0122584600648055,"hbrook","hardwood","tree","producer","Primary"
1997,33,3,-0.0134789768732396,0.120578598913622,0.911713920710241,26.6988932589537,240.916060745965,0.912471590963363,0.000402936553810436,-0.03184213000897,"hbrook","hardwood","tree","producer","Primary"
1998,33,3,0.317062425449451,0.123704856817635,0.0154502295684984,-633.818840917219,247.286029406242,0.0154486037972633,0.174857184757532,0.14823967458842,"hbrook","hardwood","tree","producer","Primary"
1999,33,3,-0.112156947665045,0.123581321097729,0.371114255213185,224.209410463586,247.162662792344,0.371334272044213,0.0258819267166683,-0.00554123693763264,"hbrook","hardwood","tree","producer","Primary"
2000,33,3,-0.507904165075479,0.112812336946493,0.0000889626803637513,1016.10318274741,225.737505022592,0.0000892014963924986,0.395356042104011,0.375851398300914,"hbrook","hardwood","tree","producer","Primary"
2001,33,3,-0.0757919692451784,0.10178409646478,0.462100615427236,151.167135507686,203.771778069558,0.463764853231715,0.0175721738701874,-0.0141190463275485,"hbrook","hardwood","tree","producer","Primary"
2002,33,3,0.0565299747499905,0.103405347943322,0.588510112224558,-113.794035099239,207.120929138884,0.586661411460564,0.00954867312658784,-0.0224013696757803,"hbrook","hardwood","tree","producer","Primary"
2003,33,3,0.0657216399950078,0.103812882364154,0.531325677032003,-132.243580374157,208.041033525375,0.529662396844605,0.0127636164219471,-0.0190827185321836,"hbrook","hardwood","tree","producer","Primary"
2004,33,3,-0.500319704692596,0.176494679435568,0.0080012201926764,1002.32446684035,353.871861610737,0.00804704996315417,0.205858264210661,0.180240788862618,"hbrook","hardwood","tree","producer","Primary"
2005,33,3,1.41280135189953,0.353024962413693,0.000363292679812933,-2833.96479020982,708.168133263375,0.00036345666409741,0.340648601608716,0.31937920166061,"hbrook","hardwood","tree","producer","Primary"
2006,33,3,0.735794756877921,0.405992497118988,0.0796305125027726,-1476.45776718624,814.82700914722,0.0796852927234742,0.0958029244406748,0.066635276841987,"hbrook","hardwood","tree","producer","Primary"
2007,33,3,-0.374146657437764,0.303573790830995,0.227038139006517,752.584176136564,609.576222382692,0.226255443018518,0.0467108887180747,0.015959627063819,"hbrook","hardwood","tree","producer","Primary"
2008,33,3,-0.342246810464566,0.231333581216545,0.14911094358057,687.869086283714,464.749203046912,0.148942269752525,0.0659493032514031,0.0358186356143515,"hbrook","hardwood","tree","producer","Primary"
2009,33,3,-0.584035604877959,0.221716639442592,0.0130442168079927,1174.34230109104,445.650482048536,0.0130140487804394,0.182893766266836,0.156535500662541,"hbrook","hardwood","tree","producer","Primary"
2010,33,3,0.305255334012913,0.138941092713263,0.0356212677156936,-613.987250693787,279.410560476553,0.035588078497284,0.134727515875912,0.106815500259006,"hbrook","hardwood","tree","producer","Primary"
2011,33,3,-0.0907218515255142,0.124732976191126,0.472482334883357,182.71676580742,250.962768761385,0.472038868772215,0.0167784157031368,-0.014938409596762,"hbrook","hardwood","tree","producer","Primary"
2012,33,3,0.02758207371464,0.0806281493201856,0.734591706335003,-55.4800780105882,162.304477932775,0.734787488245674,0.00376081847116075,-0.028375929320092,"hbrook","hardwood","tree","producer","Primary"
2013,33,3,0.026309925403531,0.0856152069452273,0.7606667546954,-52.828342459564,172.429040957698,0.761365747644842,0.00303706948738777,-0.029123025045277,"hbrook","hardwood","tree","producer","Primary"
2014,33,3,0.127371154739598,0.0869782424744695,0.1531523173477,-256.489398320737,175.261172974516,0.153405692716277,0.0647008188103561,0.0345298774816579,"hbrook","hardwood","tree","producer","Primary"
2015,33,3,0.169751661927291,0.0848700911177062,0.0543118600588973,-341.843881314224,171.098117726048,0.0545614702116884,0.114299406356365,0.0857284194646349,"hbrook","hardwood","tree","producer","Primary"
2016,33,3,-0.0810707006268052,0.104147619223833,0.442222204499013,163.827116387847,210.065765186108,0.441372701133305,0.019171692603627,-0.0124679302156108,"hbrook","hardwood","tree","producer","Primary"
2017,33,3,-0.273405777268815,0.0931145436994442,0.00621216650051701,551.985177782351,187.905164566142,0.00619124551268829,0.217595528211524,0.192356674282864,"hbrook","hardwood","tree","producer","Primary"
1992,34,4,0.408425215817025,0.215669586370602,0.0673285083273542,-814.525058934986,430.013493612025,0.0672694605543723,0.100777685676289,0.0726769883536725,"hbrook","hardwood","tree","producer","Primary"
1993,41,4,-0.0952407238741034,0.143991278197136,0.512223126277393,190.026374464488,287.206450327916,0.512094455259678,0.0110933746610017,-0.0142632054758955,"hbrook","hardwood","tree","producer","Primary"
1994,44,4,-0.206983106300908,0.118468086235454,0.0879182781583247,413.038793557665,236.403103187609,0.0879153533942267,0.0677559421435056,0.0455596550516844,"hbrook","hardwood","tree","producer","Primary"
1995,44,4,0.00212969343082676,0.0766975233109069,0.977979162300067,-4.43559288189895,153.126629300217,0.977028254405595,0.0000183575296929815,-0.0237907291957904,"hbrook","hardwood","tree","producer","Primary"
1996,44,4,-0.0706936421142337,0.0694323055335614,0.314428319514504,141.03286596554,138.691052028039,0.3150303557206,0.0240879007441591,0.00085189838092492,"hbrook","hardwood","tree","producer","Primary"
1997,44,4,0.193346743722284,0.0772928978119946,0.0163509871355652,-386.469954584038,154.469880449429,0.0163337731963808,0.129667322754866,0.108945116153791,"hbrook","hardwood","tree","producer","Primary"
1998,44,4,-0.0150783580854114,0.0850909961897613,0.860200962190751,30.0198717744584,170.139473479011,0.860794206458512,0.000747079853851831,-0.0230446563401041,"hbrook","hardwood","tree","producer","Primary"
1999,44,4,-0.189152243821602,0.0765621175414788,0.0176323588058127,378.17433767798,153.162540061408,0.0176954097089272,0.126886784844015,0.106098374959349,"hbrook","hardwood","tree","producer","Primary"
2000,44,4,-0.329940438384111,0.0713203832490985,0.0000354862349059964,660.057086880208,142.747769343985,0.0000357400716976881,0.33755487049377,0.321782367410288,"hbrook","hardwood","tree","producer","Primary"
2001,44,4,-0.00151765120697055,0.0646666569916151,0.981387446204648,2.49470890120633,129.495000808809,0.984721011968464,0.0000131137873541447,-0.0237960977891374,"hbrook","hardwood","tree","producer","Primary"
2002,44,4,0.0406994334570604,0.0667115719483457,0.545095440661936,-82.0907377365976,133.656655209456,0.542401885503053,0.00878402135995104,-0.0148163590838595,"hbrook","hardwood","tree","producer","Primary"
2003,44,4,-0.254395959426561,0.10480100098035,0.0195739174549942,509.165383000194,210.073639141899,0.0197477514839423,0.123033472998571,0.102153317593775,"hbrook","hardwood","tree","producer","Primary"
2004,44,4,0.741253990809603,0.21210473118382,0.00113293436641981,-1486.61693474306,425.376104490096,0.00113268895758497,0.225282498472502,0.206836843674228,"hbrook","hardwood","tree","producer","Primary"
2005,44,4,0.530272122021794,0.224998023802655,0.0231722578725011,-1063.90533148504,451.458604844132,0.0231827002632539,0.116801689098263,0.0957731578863166,"hbrook","hardwood","tree","producer","Primary"
2006,44,4,0.681556500157345,0.225994990508128,0.00433720754173519,-1367.61966536695,453.685013804648,0.00435287364883946,0.178002906847491,0.158431547486717,"hbrook","hardwood","tree","producer","Primary"
2007,44,4,-0.744745058260184,0.172321043662771,0.0000929231631584672,1496.62223218771,346.106869819102,0.0000922514717757811,0.307825666537923,0.291345325265016,"hbrook","hardwood","tree","producer","Primary"
